5042BTL,0-046-000015-UX,CINTA EMBA CRISTAL 48MMX100MT
5042BTL,0-046-00051A-UX,CINTA DOBLE FAZ 3M ATG 924 (ANCHO:12MM)
5042BTL,0-700-02258A-UX,ETIQUETA PARA MASTER BOX (76X176MM) (RETAIL)
5042BTL,0-700-02259A-UX,ETIQUETA CU BOX (80X40MM) - (3DS04792AAAA) (RETAIL)
5042BTL,0-700-02261A-UX,ETIQUETA PARA PALLET (RETAIL)
5042BTL,0-700-02264A-UX,"ETIQ. PRODUCCION ONETOUCH 18,5X*6mm (CPE0000118C0) ADHESIVO REMOVIBLE (RETAIL)"
5042BTL,0-700-02293A-UX,"ETIQ. IMEI ONE TOUCH 5042A 68X49,2mm (CPE000195AC0)"
5042BTL,0-723-00005A-UX,BOLSA PLASTICA (172×94) (RETAIL)
5042BTL,0-940-00001A-UX,RIBBON P/ ZEBRA RESINA (ANCHO:100MM)
5042BTL,3-700-01908A-UX,ETIQUETA DE SEGURIDAD (40X20MM) (ALCATEL)
5042BTL,3-700-01909A-UX,ETIQUETA DE SEGURIDAD LATAM (ALCATEL)
5042BTL,3-710-00100A-UX,MANUAL DE USUARIO ONE TOUCH 5042A ESP (CJB6157ALAGA)
5042BTL,3-712-00005A-UX,FOLLETO HOTLINE AMERICA&PACIFICO VERSION L (CJE3000ALAAL) (ALCATEL)
5042BTL,3-713-00009A-UX,FOLLETO GARANTÍA ARGENTINA B (CQC30000001B) (ALCATEL)
5042BTL,3-720-00208A-UX,CAJA ONE TOUCH 5042A (CKA6150001CA) CON ETIQUETA TDF SIN MICROSD (ALCATEL)
5042BTL,3-720-00209A-UX,CAJA MASTER 10 CUS ONE TOUCH 5042A (CMA3000450C0)
5042BTL,3-720-00211A-UX,CUNA PARA CU BOX ONE TOUCH 5042A (CLC6150001CA) (ALCATEL)
5042BTL,3-750-00023A-UX,FILM PARA PANTALLA ONE TOUCH 5042A (CPG615002AC0) (ALCATEL)
5042BTL,ASA0301112C1,"FPC+BTBtype,5x5x2.87+0.05tape¿MIPI, 3'clock,  F.NO2.8;FOV58°, BTB is landscape, Old pin definition (Camara frontal)"
5042BTL,ASA5001080C1,"Camera,CMOS,5M,FF,6.5×6.5×3.95 mm,FPC+BTB 30Pin,MIPI,S5K5E2,Sunny,3531A,P5S12E,SUNNY (Modelulo de camara)"
5042BTL,AUA450T106C1,"LCD,Main LCD,16.7M,4.5"",480×854,TFT-TN,Wide View,MIPI,ZIF 25Pin,NT35512S,N/A,TXDT450DKP-58V4,TONGXINGDA"
5042BTL,AUE6150B13C1,"Touch Panel,Capacitive,Alto 4.5,128.16×63.26×0.95 mm,BTB 10Pin,FT6306DMB-B,Glass+Film,White,N/A,N/A,N/A,YCA0190451532A,EACHOPTO"
5042BTL,AWA0916S02C1,"¿¿,Speaker,Rectangular,9×16×WH3.4 mm,90+/-3dB,500 mW,spring,With Foam,W/O Mayler&mesh,N/A,DMSP0916C-J-01-F1,AAC"
5042BTL,AWB0612S13C1,"???,Receiver,12.00×6.00×2.32mm,19+/-3dB,10 mW,spring,With no Foam ,with mesh&Mayler,Wide Frequency Range,No HAC,N/A,SDRP0612K-J-01-FB,AAC"
5042BTL,BCA287415364,"Front-casting-pre-assmebly,Alto-4.5,pure White,painting,Argentina SKD,80% Glossy,"
5042BTL,BCC287415385,"Frame-pre-assmebly,Alto-4.5 LA;raw material,white,LDS,Argentina SKD,5042A,1SIM (Cubierta trasera)"
5042BTL,BCJ287397772,"Battery-cover-asm,Alto-4.5 EU,Platinum Silver,ALCATEL&onetouch Logo,Platinum Silver(UV Painting) / UV matt without NFC,green (Cubierta de bateria)"
5042BTL,BEB287389816,Camera-lens;Alto-4.5;Material:MR58
5042BTL,BLA287389647,Main-cam-con-foam;Alto-4.5;9*9mm¿Material:7JH0505
5042BTL,BLH287389634,"Led-film,Alto-4.5,¿3mm, Material"
5042BTL,BLJ287390111,"Thermal-film-front;Alto-4.5,48*73*0.05mm;Material (Lamina de grafito)"
5042BTL,BLJ287415525,"Alto 4.5,,49*6.85.T=0.25mm,for Argentina"
5042BTL,BMA1430262C0,"Screw,PM1.4×0.3PxL3.0,HD=¿2.6×T0.5mm,WZN3+,¿type,Flat head¿Nylok"
5042BTL,BNF287389499,Speaker-mesh;Alto-4.5;15.5*8.55mm;Material:foam(LMS-03 )+mesh(300#) + tesa 4972 (Rejilla de altavoz)
5042BTL,BNF287389519,"Receiver-metal-mesh;Alto-4.5,SUS304,1/2H,T0.15mm;"
5042BTL,BNJ287389655,"Main-camera-rubber,Alto-4.5;rubber,black"
5042BTL,BNJ287389668,"Main-mic-rubber;Alto-4.5;black,60°¿"
5042BTL,BNJ287389783,Audio-jack-rubber-asm;Alto-4.5;rubber
5042BTL,BNJ287400441,P-sensor rubber assmebly ¿Alto-4.5 ;black
5042BTL,BRA287389457,Camera-btb-foam;Alto-4.5 ;Material:rogers 92-25041
5042BTL,BRA287389501,TP-BTB-foam;Alto-4.5 ;Material:ROGERS 92-09030
5042BTL,BRA287389530,Vibrator-foam;Alto-4.5;Material:rogers 92-09030
5042BTL,BRA287389543,ZIF-foam;Alto-4.5;Material:rogers 92-09020
5042BTL,BRA287389626,BTB front-camera-btb-foam;Alto-4.5 7.9*4.9mm;Material:ROGERS 92-25021
5042BTL,BRA287389676,Spk-fpc-foam;Alto-4.5;7*7mm¿Material:ROGES 92-25031
5042BTL,BRA287389775,"Fro-camera-foam,Alto-4.5,4.7*4.7mm,Materialconductive foam,huaguan"
5042BTL,BRA287394536,Shielding-foam¿Alto-4.5;Material:HM-15
5042BTL,CAB2000029C1,"LI-ION Battery,N/A,2000 mAh,3.8 V,4.35 V,Alcatel,Egnlish-French,4 PINs,BYD435168,4.45×51.3×70.75 mm,TLi020F1,Removable,Reach,IATA for CAB2000010C1,N/A,BYD (Bateria de litio recargable))"
5042BTL,CBA3000AH0C1,"MOU charger,black,ARGENTINA STANDARD,USB standard-A,W/O Wire,N/A,MOU,5.0 V,1000 mA,ALCATEL,N/A,Argentina,Reach,Model NOS005UA0500100,N/A,TENPAO"
5042BTL,CCB3000A12C2,"Stereo Earphone,3.5mm audio jack,LRGM,0 Keys,Open Type,Black,N/A,3.0 mW,Reach,N/A,JW-EP0490-T01R,JUWEI"
5042BTL,CDA3122002C2,USB???.Micro USB Cable.Piano..1.0m.10.4mm*7.4mm plug..Shenhua....
5042BTL,F-C6157S0030,"Bansanjian PCBA,Alto-4.5 LA,US 1SIM,SBA6156S003B,Argentina,N/A,N/A"
5042BTL,SBF61500021E,"Speaker Furnished FPC,Alto-4.5 EU,D Version,2 Layers,N/A,With Glue,28.97×12.71×0.15 mm,SBF61500021E,V02B,C-FLEX"
